Name,Index Year,Overall Score,Property Rights,Judicial Effectiveness,Government Integrity,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Tonga,2017,63.0,65.5,19.8,47.6,86.9,74.4,79.6,76.1,86.0,80.6,79.7,40.0,20.0
Trinidad and Tobago,2017,61.2,54.7,48.7,36.8,81.4,57.7,51.8,67.7,71.4,75.9,78.6,60.0,50.0
Tunisia,2017,55.7,49.6,39.9,37.3,73.7,73.4,53.4,80.6,56.1,75.9,63.8,35.0,30.0
Turkey,2017,65.2,61.3,52.5,40.7,75.5,57.7,95.7,64.3,48.5,72.2,79.4,75.0,60.0
Turkmenistan,2017,47.4,32.4,5.0,29.6,95.3,92.3,98.9,30.0,20.0,74.8,80.0,0.0,10.0
Uganda,2017,60.9,39.3,34.6,28.7,73.7,91.0,78.1,42.4,84.6,80.3,78.3,60.0,40.0
Ukraine,2017,48.1,41.4,22.6,29.2,78.6,38.2,67.9,62.1,48.8,47.4,85.9,25.0,30.0
United Arab Emirates,2017,76.9,76.7,85.0,74.2,96.4,67.4,99.2,81.1,80.9,78.4,83.5,40.0,60.0
United Kingdom,2017,76.4,93.8,93.0,78.3,65.1,41.9,40.4,89.9,72.8,85.0,87.0,90.0,80.0
United States,2017,75.1,81.3,75.1,78.1,65.3,55.9,53.3,84.4,91.0,80.1,87.1,80.0,70.0
"Uruguay ",2017,69.7,70.2,66.8,70.3,77.5,69.4,77.2,74.8,62.9,71.3,80.6,85.0,30.0
Uzbekistan,2017,52.3,48.0,41.9,27.5,90.7,66.2,99.8,64.8,50.4,61.1,66.8,0.0,10.0
Vanuatu,2017,67.4,65.5,33.0,70.5,97.0,80.4,99.1,51.4,58.1,74.8,73.9,65.0,40.0
"Venezuela ",2017,27.0,6.8,10.3,11.6,72.5,51.5,15.2,39.7,28.5,16.8,60.7,0.0,10.0
Vietnam,2017,52.4,49.7,32.0,24.6,79.6,74.6,21.1,61.2,62.2,76.0,83.1,25.0,40.0
Yemen,2017,N/A,37.3,22.6,17.4,N/A,77.2,10.6,51.4,54.2,59.7,N/A,N/A,N/A
Zambia,2017,55.8,49.6,39.8,35.0,73.1,81.6,21.6,66.6,48.2,70.7,78.3,55.0,50.0
Zimbabwe,2017,44.0,27.3,26.1,14.7,61.1,75.2,90.6,36.2,33.1,76.5,52.8,25.0,10.0
