Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cabo Verde,CPV,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8097857,30.01707826,29.23632163,29.23170303,31.6027295,30.11437197,29.73380811,31.99823904,30.80007333,29.37109591,31.81869658,31.28371993,31.50359605,,
Costa Rica,CRI,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,23.40425532,23.62204724,21.66666667,21.05263158,23.41269841,23.14814815,23.82198953,22.87104623,20.997921,21.07496464,23.90599676,24.13617886,20.05002084,19.75637609,18.10951361,16.09447285,15.63593932,16.44680487,17.31360773,15.58914978,13.78660481,16.42983473,18.24377457,18.52128161,17.60793009,17.91456132,19.62865309,24.66672899,22.40363575,23.23361823,23.28016452,24.9198204,24.61858371,24.77974369,24.51702853,25.76067856,27.91475238,29.58341336,29.16699114,27.46270107,26.94697537,27.48949162,27.68261677,28.40744072,29.14011821,30.68153182,32.01095172,
Caribbean small states,CSS,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,20.44746531,21.03596471,24.64207048,35.74542284,33.62984927,25.38406574,25.22535621,26.23280778,32.41127813,31.53190433,30.15209646,32.14938328,31.87949015,33.02363488,30.6990313,32.14322567,30.30661057,31.39753802,33.54456477,30.29262171,28.56148989,28.23309687,29.38233242,40.51571883,40.48605746,42.63587525,43.75075328,47.23842757,44.42679495,43.92711718,43.4941463,34.81735563,28.76648924,31.67642177,36.1474588,40.37329476,39.66035526,39.55411226,38.8423305,41.80679124,40.35874439,40.33181722,37.85466327,36.93247828,36.63617203,36.08994611,35.47945645,
Czech Republic,CZE,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.40853495,30.27018543,30.62215724,26.74836671,29.27835814,28.65566342,27.40105068,27.19569214,39.30421014,40.544016,41.47977982,40.25278406,38.86201258,39.70224679,39.58021716,37.41616073,34.02591715,32.53667433,31.55094477,30.53195218,30.19032724,32.61555524,31.42024713,32.54507128,33.17791983,34.76270994,
Germany,DEU,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,39.8001746,42.60278686,45.38149283,43.66185567,44.65063862,47.18025839,45.96655347,45.39273573,44.51638329,43.47276425,44.25421249,43.36269349,41.45506419,43.73351523,44.27122547,43.63605457,44.35750952,44.13248275,40.59335584,41.02936711,41.50796269,39.54649656,37.86718589,42.22547234,43.43425663,43.55120022,43.78224336,43.43166706,44.19104869,40.70595053,39.78956473,39.23614537,39.43458374,39.29984704,41.12008346,41.06247794,41.66104723,38.59365649,37.75874326,38.30491046,39.86749695,40.78483029,41.21953687,42.18411333,44.08944511,44.70026648,45.81600832,
Djibouti,DJI,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,45.47958661,47.53101345,52.26796469,48.61441905,46.23435946,42.83295223,42.07266942,40.53678852,41.63146802,41.97639712,42.55972671,41.02740348,43.73835039,45.17565733,44.8925192,45.13095258,46.28731506,46.95752276,45.53283185,46.41766765,46.94775132,47.80702061,48.29720177,49.78379383,48.99383036,48.44886248,45.71012106,45.83513087,46.64190675,43.66829325,42.83951838,43.52034878,44.99799474,46.99654727,45.20432932,49.22068196,49.82037241,50.19729716,50.23572692,49.89857979,50.84362822,51.88029028,56.17446908,52.7279176,51.89471014,52.77841118,50.74316781,
Dominican Republic,DOM,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,22.70250636,22.84988892,23.51268073,21.94194886,23.54512498,18.83150756,20.71082992,21.6782064,26.1300043,25.3540305,26.94057004,25.0192357,23.10486569,21.47598081,20.30408774,19.38710702,21.4761434,24.15336559,25.02616958,24.74676391,17.19353427,16.83864247,16.29580916,17.99652868,18.76589782,18.81354343,18.38531415,20.36820291,20.479694,25.01498213,23.61954912,27.60994781,20.79630704,19.92401001,22.08234063,25.44035027,24.87596312,24.67477718,22.15783577,23.98969362,29.68798598,30.59929748,31.94179207,28.91840633,29.94061721,30.93668796,30.53919325,
Algeria,DZA,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",EGY,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,13.03948577,17.12564544,13.22195704,22.71517303,23.31471136,,34.44987206,32.94334975,34.68259629,28.03225253,30.73337477,33.8057524,31.42324094,31.40626768,31.85998498,33.4805584,38.64294331,38.85863223,38.16358767,36.01236012,33.75149509,34.21617574,34.36749117,,,,,38.62643203,37.39414382,40.6278855,41.67313449,49.36504706,51.20012386,48.87776768,49.16883497,44.93866335,46.64543162,43.99257509,46.89508518,46.45835975,42.43014541,,,,
Euro area,EMU,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
